timestamp,input_tokens,output_tokens,total_tokens,cost_usd
2026-02-22 06:14:58 UTC,331,2011,2342,0.0062
2026-02-22 06:20:28 UTC,1897,2463,4360,0.0083
2026-02-22 06:23:21 UTC,2207,2348,4555,0.0081
2026-02-22 08:42:22 UTC,2960,2665,5625,0.0095
2026-02-22 13:07:07 UTC,3081,2575,5656,0.0093
2026-02-22 16:40:58 UTC,3332,2525,5857,0.0092
2026-02-22 20:36:22 UTC,3182,2097,5279,0.0079
2026-02-23 02:52:35 UTC,3189,2525,5714,0.0092
2026-02-23 05:39:02 UTC,3189,2374,5563,0.0087
2026-02-23 09:00:15 UTC,2890,2389,5279,0.0086
2026-02-23 13:23:37 UTC,2678,3966,6644,0.0132
2026-02-23 17:09:16 UTC,2709,3405,6114,0.0116
2026-02-23 20:54:44 UTC,2839,2387,5226,0.0086
2026-02-24 02:49:50 UTC,2948,2359,5307,0.0086
2026-02-24 05:24:28 UTC,3131,2508,5639,0.0091
2026-02-24 08:59:48 UTC,3720,2382,6102,0.0090
2026-02-24 13:25:05 UTC,3824,2448,6272,0.0093
2026-02-24 17:13:04 UTC,3884,2768,6652,0.0102
2026-02-24 20:47:31 UTC,4125,2557,6682,0.0097
